Confirmed,Date,Deaths,Location,Recovered,_id
184,2020-01-30T18:30:00.000Z,0,Shandong,2,621c51e5c4f24f87f62d55ad
177,2020-01-30T18:30:00.000Z,1,Sichuan,1,621c51e5c4f24f87f62d55ae
168,2020-01-30T18:30:00.000Z,0,Jiangsu,5,621c51e5c4f24f87f62d55af
139,2020-01-30T18:30:00.000Z,1,Beijing,5,621c51e5c4f24f87f62d55b0
135,2020-01-30T18:30:00.000Z,1,Shanghai,9,621c51e5c4f24f87f62d55b1
120,2020-01-30T18:30:00.000Z,0,Fujian,0,621c51e5c4f24f87f62d55b2
87,2020-01-30T18:30:00.000Z,0,Guangxi,2,621c51e5c4f24f87f62d55b3
87,2020-01-30T18:30:00.000Z,0,Shaanxi,0,621c51e5c4f24f87f62d55b4
83,2020-01-30T18:30:00.000Z,0,Yunnan,1,621c51e5c4f24f87f62d55b5
82,2020-01-30T18:30:00.000Z,1,Hebei,0,621c51e5c4f24f87f62d55b6
59,2020-01-30T18:30:00.000Z,2,Heilongjiang,0,621c51e5c4f24f87f62d55b7
52,2020-01-30T18:30:00.000Z,1,Hainan,1,621c51e5c4f24f87f62d55b8
48,2020-01-30T18:30:00.000Z,0,Liaoning,1,621c51e5c4f24f87f62d55b9
39,2020-01-30T18:30:00.000Z,0,Shanxi,1,621c51e5c4f24f87f62d55ba
32,2020-01-30T18:30:00.000Z,0,Tianjin,0,621c51e5c4f24f87f62d55bb
29,2020-01-30T18:30:00.000Z,0,Guizhou,2,621c51e5c4f24f87f62d55bc
29,2020-01-30T18:30:00.000Z,0,Gansu,0,621c51e5c4f24f87f62d55bd
21,2020-01-30T18:30:00.000Z,0,Ningxia,0,621c51e5c4f24f87f62d55be
20,2020-01-30T18:30:00.000Z,0,Inner Mongolia,1,621c51e5c4f24f87f62d55bf
